id,x_center,y_center
250mN303500E445400,11.873001633442472,50.41280349678946
250mN303500E445425,11.876517610035798,50.41274601044344
250mN303500E445450,11.880033578768904,50.41268841631236
250mN303500E445475,11.883549539627094,50.4126307143966
250mN303500E445500,11.8870654925957,50.412572904696574
250mN303500E445525,11.890581437660023,50.41251498721266
250mN303500E445550,11.894097374805376,50.412456961945225
250mN303500E445575,11.897613304017069,50.41239882889471
250mN303500E445600,11.901129225280421,50.41234058806146
250mN303500E445625,11.904645138580756,50.41228223944591
250mN303500E445650,11.90816104390337,50.41222378304841
250mN303500E445675,11.91167694123359,50.4121652188694
250mN303500E445700,11.915192830556721,50.41210654690924
250mN303500E445725,11.918708711858084,50.41204776716835
250mN303500E445750,11.922224585123006,50.41198887964711
250mN303500E445775,11.925740450336773,50.41192988434593
250mN303500E445800,11.929256307484728,50.4118707812652
250mN303500E445825,11.932772156552174,50.41181157040532
250mN303500E445850,11.93628799752443,50.411752251766714
250mN303500E445875,11.939803830386811,50.41169282534975
250mN303500E445900,11.943319655124643,50.41163329115485
250mN303500E445925,11.946835471723226,50.41157364918237
250mN303500E445950,11.950351280167888,50.41151389943279
250mN303500E445975,11.95386708044395,50.41145404190647
250mN303500E446000,11.957382872536726,50.41139407660379
250mN303475E444300,11.718209421247147,50.412979294095244
250mN303475E444325,11.721725562145561,50.41292655354869
250mN303475E444350,11.725241695831556,50.41287370520653
250mN303475E444375,11.728757822290445,50.41282074906917
250mN303475E444400,11.732273941507529,50.41276768513694
250mN303475E444425,11.735790053468106,50.41271451341019
250mN303475E444450,11.73930615815749,50.41266123388932
250mN303475E444475,11.74282225556099,50.41260784657465
250mN303475E444500,11.746338345663892,50.41255435146655
250mN303475E444525,11.74985442845152,50.412500748565414
250mN303475E444550,11.753370503909181,50.41244703787157
250mN303475E444575,11.756886572022163,50.41239321938538
250mN303475E444600,11.760402632775797,50.41233929310722
250mN303475E444625,11.763918686155368,50.412285259037475
250mN303475E444650,11.767434732146189,50.412231117176454
250mN303475E444675,11.770950770733572,50.41217686752458
250mN303475E444700,11.774466801902824,50.41212251008217
250mN303475E444725,11.777982825639251,50.412068044849626
250mN303475E444750,11.781498841928153,50.4120134718273
250mN303475E444775,11.785014850754854,50.41195879101558
250mN303475E444800,11.788530852104651,50.41190400241481
250mN303475E444825,11.792046845962851,50.41184910602537
250mN303475E444850,11.795562832314767,50.41179410184765
250mN303475E444875,11.799078811145717,50.411738989882
250mN303475E444900,11.802594782440995,50.41168377012879
250mN303475E444925,11.806110746185917,50.41162844258839
